timestamp,altitude,azimuth,zenith,state
58188.1,0.029,0.032,0.008,MONITORING
58188.29,0.021,0.033,0.021,MONITORING
58197.4,0.032,0.043,0.012,MONITORING
58197.58,0.051,0.042,0.013,MONITORING
58197.76,0.032,0.042,0.012,MONITORING
58197.94,0.042,0.041,0.009,MONITORING
58198.13,0.036,0.04,0.011,MONITORING
58198.31,0.036,0.04,0.011,MONITORING
58198.49,0.044,0.039,0.005,MONITORING
58198.67,0.038,0.038,0.019,MONITORING
58198.85,0.041,0.039,0.01,MONITORING
58199.4,0.04,0.039,0.016,MONITORING
58199.22,0.036,0.038,0.013,MONITORING
58208.33,0.025,0.041,0.011,MONITORING
58208.51,0.018,0.041,0.022,MONITORING
58208.7,0.033,0.042,0.01,MONITORING
58208.88,0.033,0.042,0.012,MONITORING
58209.6,0.006,0.043,0.037,MONITORING
58209.24,0.086,0.047,0.02,MONITORING
58209.42,0.021,0.048,0.062,MONITORING
58209.61,0.057,0.048,0.015,MONITORING
58209.79,0.021,0.047,0.044,MONITORING
58209.97,0.03,0.047,0.007,MONITORING
58210.15,0.01,0.047,0.022,MONITORING
58210.34,0.006,0.047,0.01,MONITORING
58210.52,0.015,0.046,0.006,MONITORING
58210.7,0.006,0.046,0.008,MONITORING
58210.88,0.0,0.046,0.013,MONITORING
58211.7,0.007,0.045,0.011,MONITORING
58211.25,0.021,0.046,0.029,MONITORING
58211.43,0.005,0.046,0.016,MONITORING
58211.61,0.008,0.047,0.012,MONITORING
58211.79,0.003,0.048,0.006,MONITORING
58211.98,0.02,0.049,0.003,MONITORING
58217.81,0.038,0.049,0.004,MONITORING
58217.99,0.028,0.05,0.011,MONITORING
58218.17,0.033,0.048,0.002,MONITORING
58218.35,0.025,0.049,0.011,MONITORING
58218.54,0.049,0.05,0.005,MONITORING
58218.72,0.03,0.049,0.016,MONITORING
58218.9,0.046,0.048,0.009,MONITORING
58219.8,0.042,0.049,0.015,MONITORING
58219.27,0.039,0.048,0.022,MONITORING
58219.45,0.05,0.05,0.017,MONITORING
58219.63,0.036,0.049,0.022,MONITORING
58219.81,0.045,0.049,0.013,MONITORING
58225.46,0.034,0.048,0.016,MONITORING
58225.65,0.07,0.048,0.023,MONITORING
58225.83,0.049,0.048,0.021,MONITORING
58226.1,0.104,0.048,0.032,MONITORING
58226.19,0.082,0.049,0.025,MONITORING
58226.37,0.099,0.048,0.03,MONITORING
58226.56,0.134,0.047,0.047,MONITORING
58226.74,0.151,0.048,0.049,MONITORING
58226.92,0.223,0.047,0.081,MONITORING
58227.1,0.288,0.048,0.102,MONITORING
58227.29,0.281,0.048,0.096,MONITORING
58227.47,0.253,0.047,0.084,MONITORING
58230.93,0.087,0.048,0.023,MONITORING
58231.11,0.037,0.049,0.026,MONITORING
58231.3,0.021,0.048,0.012,MONITORING
58231.48,0.0,0.049,0.024,MONITORING
58231.66,0.015,0.048,0.028,MONITORING
58231.84,0.015,0.048,0.021,MONITORING
58232.2,0.037,0.047,0.059,MONITORING
58232.21,0.058,0.048,0.068,MONITORING
58232.39,0.054,0.047,0.052,MONITORING
58232.57,0.058,0.047,0.06,MONITORING
58232.75,0.045,0.048,0.041,MONITORING
58232.94,0.045,0.048,0.062,MONITORING
58233.12,0.055,0.047,0.076,MONITORING
58233.3,0.073,0.046,0.072,MONITORING
58233.48,0.068,0.046,0.078,MONITORING
